Fs=100
t,x
0,503
0.01,503
0.02,515
0.03,500
0.04,528
0.05,504
0.06,501
0.07,517
0.08,499
0.09,531
0.1,507
0.11,502
0.12,517
0.13,499
0.14,531
0.15,508
0.16,499
0.17,519
0.18,497
0.19,530
0.2,507
0.21,501
0.22,519
0.23,498
0.24,531
0.25,510
0.26,500
0.27,519
0.28,497
0.29,533
0.3,509
0.31,500
0.32,519
0.33,497
0.34,534
0.35,509
0.36,499
0.37,520
0.38,499
0.39,534
0.4,507
0.41,500
0.42,519
0.43,498
0.44,535
0.45,513
0.46,499
0.47,519
0.48,497
0.49,536
0.5,510
0.51,500
0.52,518
0.53,498
0.54,531
0.55,513
0.56,500
0.57,520
0.58,497
0.59,534
0.6,514
0.61,502
0.62,517
0.63,499
0.64,529
0.65,516
0.66,500
0.67,520
0.68,499
0.69,531
0.7,515
0.71,501
0.72,519
0.73,500
0.74,533
0.75,513
0.76,500
0.77,519
0.78,498
0.79,531
0.8,514
0.81,501
0.82,520
0.83,500
0.84,530
0.85,514
0.86,500
0.87,519
0.88,497
0.89,530
0.9,516
0.91,498
0.92,519
0.93,497
0.94,528
0.95,515
0.96,498
0.97,518
0.98,497
0.99,528
1,516
1.01,500
1.02,519
1.03,495
1.04,526
1.05,516
1.06,499
1.07,517
1.08,497
1.09,530
1.1,515
1.11,497
1.12,519
1.13,497
1.14,527
1.15,515
1.16,499
1.17,518
1.18,499
1.19,527
1.2,517
1.21,497
1.22,516
1.23,495
1.24,525
1.25,514
1.26,497
1.27,516
1.28,496
1.29,524
1.3,515
1.31,497
1.32,518
1.33,495
1.34,523
1.35,516
1.36,497
1.37,517
1.38,496
1.39,523
1.4,517
1.41,497
1.42,518
1.43,496
1.44,520
1.45,515
1.46,496
1.47,518
1.48,495
1.49,520
1.5,518
1.51,497
1.52,518
1.53,496
1.54,519
1.55,516
1.56,498
1.57,517
1.58,497
1.59,517
1.6,514
1.61,497
1.62,518
1.63,496
1.64,518
1.65,516
1.66,499
1.67,515
1.68,495
1.69,517
1.7,518
1.71,495
1.72,518
1.73,496
1.74,516
1.75,518
1.76,497
1.77,517
1.78,497
1.79,514
1.8,517
1.81,494
1.82,516
1.83,496
1.84,512
1.85,514
1.86,496
1.87,518
1.88,494
1.89,511
1.9,516
1.91,495
1.92,517
1.93,496
1.94,511
1.95,518
1.96,492
1.97,518
1.98,495
1.99,510
2,520
2.01,493
2.02,519
2.03,495
2.04,509
2.05,521
2.06,492
2.07,520
2.08,494
2.09,508
2.1,520
2.11,493
2.12,519
2.13,497
2.14,508
2.15,520
2.16,493
2.17,519
2.18,495
2.19,507
2.2,518
2.21,493
2.22,519
2.23,494
2.24,508
2.25,518
2.26,491
2.27,521
2.28,494
2.29,507
2.3,518
2.31,494
2.32,519
2.33,496
2.34,506
2.35,519
2.36,493
2.37,523
2.38,493
2.39,504
2.4,518
2.41,495
2.42,522
2.43,498
2.44,504
2.45,520
2.46,496
2.47,522
2.48,496
2.49,506
2.5,518
2.51,496
2.52,523
2.53,496
2.54,503
2.55,515
2.56,496
2.57,525
2.58,499
2.59,505
2.6,514
2.61,495
2.62,523
2.63,500
2.64,504
2.65,518
2.66,498
2.67,523
2.68,499
2.69,505
2.7,515
2.71,499
2.72,524
2.73,499
2.74,503
2.75,516
2.76,498
2.77,522
2.78,497
2.79,506
2.8,516
2.81,498
2.82,522
2.83,500
2.84,503
2.85,515
2.86,500
2.87,522
2.88,501
2.89,507
2.9,512
2.91,500
2.92,519
2.93,499
2.94,506
2.95,513
2.96,504
2.97,519
2.98,505
2.99,508
3,513
3.01,503
3.02,519
3.03,504
3.04,510
3.05,512
3.06,504
3.07,519
3.08,502
3.09,508
3.1,512
3.11,503
3.12,519
3.13,503
3.14,510
3.15,514
3.16,502
3.17,521
3.18,502
3.19,508
3.2,513
3.21,501
3.22,521
3.23,502
3.24,511
3.25,513
3.26,500
3.27,521
3.28,505
3.29,510
3.3,515
3.31,500
3.32,520
3.33,504
3.34,508
3.35,512
3.36,500
3.37,525
3.38,502
3.39,508
3.4,515
3.41,501
3.42,527
3.43,505
3.44,508
3.45,515
3.46,501
3.47,525
3.48,504
3.49,507
3.5,513
3.51,501
3.52,523
3.53,507
3.54,509
3.55,514
3.56,501
3.57,523
3.58,504
3.59,509
3.6,512
3.61,503
3.62,523
3.63,504
3.64,508
3.65,512
3.66,501
3.67,521
3.68,505
3.69,511
3.7,511
3.71,505
3.72,521
3.73,508
3.74,509
3.75,511
3.76,503
3.77,523
3.78,510
3.79,510
3.8,512
3.81,505
3.82,521
3.83,506
3.84,509
3.85,513
3.86,504
3.87,519
3.88,507
3.89,511
3.9,512
3.91,504
3.92,521
3.93,510
3.94,509
3.95,512
3.96,505
3.97,519
3.98,507
3.99,511
4,515
4.01,504
4.02,522
4.03,508
4.04,508
4.05,512
4.06,504
4.07,521
4.08,512
4.09,510
4.1,512
4.11,504
4.12,521
4.13,508
4.14,508
4.15,513
4.16,503
4.17,521
4.18,507
4.19,508
4.2,511
4.21,505
4.22,520
4.23,508
4.24,508
4.25,513
4.26,504
4.27,519
4.28,510
4.29,511
4.3,512
4.31,503
4.32,519
4.33,511
4.34,509
4.35,511
4.36,504
4.37,519
4.38,510
4.39,506
4.4,511
4.41,504
4.42,521
4.43,511
4.44,508
4.45,513
4.46,504
4.47,519
4.48,510
4.49,507
4.5,512
4.51,503
4.52,518
4.53,510
4.54,509
4.55,513
4.56,504
4.57,519
4.58,511
4.59,507
4.6,512
4.61,505
4.62,517
4.63,508
4.64,509
4.65,512
4.66,502
4.67,519
4.68,510
4.69,509
4.7,515
4.71,503
4.72,519
4.73,510
4.74,505
4.75,513
4.76,504
4.77,518
4.78,511
4.79,508
4.8,512
4.81,502
4.82,519
4.83,511
4.84,507
4.85,510
4.86,503
4.87,518
4.88,510
4.89,506
4.9,512
4.91,504
4.92,519
4.93,508
4.94,506
4.95,514
4.96,501
4.97,518
4.98,510
4.99,505
5,512
5.01,504
5.02,516
5.03,511
5.04,506
5.05,513
5.06,502
5.07,516
5.08,512
5.09,506
5.1,514
5.11,500
5.12,518
5.13,510
5.14,506
5.15,512
5.16,502
5.17,516
5.18,511
5.19,506
5.2,512
5.21,501
5.22,513
5.23,510
5.24,506
5.25,512
5.26,503
5.27,513
5.28,508
5.29,505
5.3,512
5.31,504
5.32,515
5.33,510
5.34,504
5.35,511
5.36,500
5.37,515
5.38,510
5.39,505
5.4,511
5.41,501
5.42,515
5.43,509
5.44,502
5.45,513
5.46,503
5.47,513
5.48,511
5.49,505
5.5,513
5.51,502
5.52,512
5.53,508
5.54,503
5.55,515
5.56,502
5.57,511
5.58,512
5.59,507
5.6,513
5.61,503
5.62,516
5.63,510
5.64,504
5.65,516
5.66,503
5.67,508
5.68,510
5.69,505
5.7,515
