Fs=100
t,x
0,361
0.01,481
0.02,532
0.03,487
0.04,472
0.05,474
0.06,488
0.07,452
0.08,444
0.09,422
0.1,469
0.11,463
0.12,434
0.13,412
0.14,487
0.15,500
0.16,451
0.17,542
0.18,532
0.19,445
0.2,451
0.21,486
0.22,510
0.23,474
0.24,561
0.25,590
0.26,578
0.27,539
0.28,462
0.29,458
0.3,512
0.31,522
0.32,531
0.33,511
0.34,590
0.35,508
0.36,528
0.37,446
0.38,600
0.39,443
0.4,568
0.41,553
0.42,467
0.43,523
0.44,575
0.45,459
0.46,476
0.47,597
0.48,609
0.49,545
0.5,510
0.51,524
0.52,511
0.53,592
0.54,531
0.55,549
0.56,492
0.57,520
0.58,526
0.59,535
0.6,514
0.61,568
0.62,534
0.63,453
0.64,627
0.65,541
0.66,491
0.67,463
0.68,418
0.69,421
0.7,384
0.71,354
0.72,438
0.73,467
0.74,417
0.75,410
0.76,439
0.77,404
0.78,337
0.79,417
0.8,363
0.81,460
0.82,439
0.83,420
0.84,547
0.85,555
0.86,566
0.87,507
0.88,519
0.89,559
0.9,529
0.91,542
0.92,483
0.93,521
0.94,494
0.95,464
0.96,639
0.97,553
0.98,495
0.99,556
1,646
1.01,630
1.02,531
1.03,480
1.04,574
1.05,606
1.06,626
1.07,561
1.08,513
1.09,577
1.1,559
1.11,543
1.12,574
1.13,543
1.14,492
1.15,562
1.16,582
1.17,584
1.18,547
1.19,519
1.2,432
1.21,544
1.22,553
1.23,622
1.24,681
1.25,677
1.26,598
1.27,570
1.28,669
1.29,678
1.3,626
1.31,672
1.32,707
1.33,737
1.34,679
1.35,704
1.36,694
1.37,662
1.38,665
1.39,619
1.4,620
1.41,609
1.42,585
1.43,595
1.44,659
1.45,615
1.46,621
1.47,624
1.48,569
1.49,460
1.5,527
1.51,476
1.52,412
1.53,394
1.54,359
1.55,343
1.56,452
1.57,414
1.58,417
1.59,428
1.6,509
1.61,520
1.62,471
1.63,463
1.64,411
1.65,428
1.66,461
1.67,511
1.68,429
1.69,465
1.7,384
1.71,426
1.72,376
1.73,392
1.74,398
1.75,359
1.76,371
1.77,441
1.78,489
1.79,530
1.8,521
1.81,510
1.82,489
1.83,419
1.84,503
1.85,367
1.86,317
1.87,308
1.88,341
1.89,335
1.9,343
1.91,451
1.92,414
1.93,490
1.94,451
1.95,489
1.96,488
1.97,539
1.98,448
1.99,477
2,550
2.01,518
2.02,444
2.03,519
2.04,542
2.05,556
2.06,486
2.07,441
2.08,460
2.09,505
2.1,443
2.11,481
2.12,516
2.13,479
2.14,486
2.15,476
2.16,551
2.17,494
2.18,607
2.19,614
2.2,531
2.21,495
2.22,464
2.23,564
2.24,536
2.25,452
2.26,437
2.27,440
2.28,489
2.29,494
2.3,500
2.31,465
2.32,466
2.33,498
2.34,442
2.35,419
2.36,451
2.37,440
2.38,491
2.39,553
2.4,615
2.41,629
2.42,569
2.43,539
2.44,504
2.45,473
2.46,576
2.47,483
2.48,518
2.49,551
2.5,591
2.51,552
2.52,575
2.53,530
2.54,494
2.55,408
2.56,455
2.57,531
2.58,580
2.59,614
2.6,575
2.61,579
2.62,625
2.63,636
2.64,586
2.65,601
2.66,563
2.67,535
2.68,554
2.69,674
2.7,665
2.71,508
2.72,505
2.73,515
2.74,560
2.75,489
2.76,494
2.77,545
2.78,539
2.79,517
2.8,529
2.81,524
2.82,575
2.83,502
2.84,519
2.85,472
2.86,505
2.87,460
2.88,456
2.89,486
2.9,400
2.91,382
2.92,422
2.93,452
2.94,533
2.95,407
2.96,454
2.97,510
2.98,488
2.99,478
3,509
3.01,526
3.02,491
3.03,438
3.04,440
3.05,454
3.06,430
3.07,424
3.08,494
3.09,547
3.1,569
3.11,610
3.12,526
3.13,519
3.14,515
3.15,415
3.16,504
3.17,489
3.18,457
3.19,440
3.2,473
3.21,423
3.22,403
3.23,507
3.24,525
3.25,508
3.26,455
3.27,406
3.28,451
3.29,555
3.3,601
3.31,540
3.32,481
3.33,507
3.34,426
3.35,493
3.36,477
3.37,488
3.38,463
3.39,548
3.4,538
3.41,519
3.42,534
3.43,473
3.44,485
3.45,558
3.46,595
3.47,542
3.48,507
3.49,445
3.5,455
3.51,443
3.52,436
3.53,528
3.54,554
3.55,590
3.56,578
3.57,621
3.58,620
3.59,548
3.6,519
3.61,546
3.62,394
3.63,383
3.64,336
3.65,402
3.66,444
3.67,439
3.68,359
3.69,324
3.7,312
3.71,304
3.72,352
3.73,325
3.74,361
3.75,345
3.76,304
3.77,306
3.78,414
3.79,367
3.8,385
3.81,472
3.82,503
3.83,481
3.84,525
3.85,584
3.86,671
3.87,707
3.88,523
3.89,525
3.9,499
3.91,556
3.92,665
3.93,627
3.94,650
3.95,732
3.96,692
3.97,593
3.98,609
3.99,638
4,615
4.01,609
4.02,560
4.03,572
4.04,660
4.05,671
4.06,616
4.07,648
4.08,582
4.09,554
4.1,525
4.11,563
4.12,503
4.13,539
4.14,562
4.15,561
4.16,505
4.17,547
4.18,544
4.19,534
4.2,488
4.21,467
4.22,466
4.23,573
4.24,555
4.25,462
4.26,429
4.27,427
4.28,484
4.29,480
4.3,431
4.31,510
4.32,581
4.33,643
4.34,643
4.35,531
4.36,513
4.37,570
4.38,563
4.39,470
4.4,471
4.41,398
4.42,635
4.43,581
4.44,602
4.45,651
4.46,679
4.47,703
4.48,583
4.49,603
4.5,482
4.51,578
4.52,561
4.53,587
4.54,502
4.55,510
4.56,673
4.57,575
4.58,465
4.59,536
4.6,529
4.61,457
4.62,545
4.63,498
4.64,498
4.65,507
4.66,547
4.67,545
4.68,471
4.69,494
4.7,541
4.71,515
4.72,588
4.73,635
4.74,602
4.75,588
4.76,543
4.77,548
4.78,600
4.79,586
4.8,643
4.81,636
4.82,518
4.83,518
4.84,596
4.85,552
4.86,579
4.87,487
4.88,505
4.89,513
4.9,517
4.91,469
4.92,472
4.93,426
4.94,438
4.95,459
4.96,520
4.97,472
4.98,483
4.99,473
5,495
5.01,529
5.02,499
5.03,493
5.04,495
5.05,474
5.06,462
5.07,528
5.08,497
5.09,484
5.1,484
5.11,463
5.12,400
5.13,407
5.14,542
5.15,600
5.16,681
5.17,679
5.18,540
5.19,532
5.2,504
5.21,563
5.22,517
5.23,401
5.24,594
5.25,496
5.26,558
5.27,525
5.28,525
5.29,508
5.3,445
5.31,480
5.32,428
5.33,450
5.34,499
5.35,466
5.36,541
5.37,517
5.38,544
5.39,534
5.4,537
5.41,453
5.42,460
5.43,479
5.44,396
5.45,477
5.46,424
5.47,403
5.48,354
5.49,445
5.5,441
5.51,413
5.52,434
5.53,516
5.54,445
5.55,414
5.56,421
5.57,465
5.58,440
5.59,468
5.6,522
5.61,521
5.62,468
5.63,444
5.64,416
5.65,403
5.66,375
5.67,336
5.68,319
5.69,397
5.7,423
5.71,391
5.72,417
5.73,394
5.74,416
5.75,418
5.76,383
5.77,334
5.78,285
5.79,391
5.8,399
5.81,450
5.82,503
5.83,468
5.84,514
5.85,527
5.86,463
5.87,466
5.88,441
5.89,460
5.9,493
5.91,490
5.92,431
5.93,514
5.94,541
5.95,459
5.96,470
5.97,530
5.98,604
5.99,547
6,516
6.01,521
6.02,639
6.03,635
6.04,641
6.05,612
6.06,584
6.07,567
6.08,590
6.09,569
6.1,499
6.11,551
6.12,576
6.13,416
6.14,563
6.15,564
6.16,551
6.17,484
6.18,534
6.19,608
6.2,605
6.21,584
6.22,579
6.23,563
6.24,593
6.25,519
6.26,569
6.27,619
6.28,588
6.29,544
6.3,642
6.31,585
6.32,560
6.33,622
6.34,573
6.35,565
6.36,579
6.37,593
6.38,580
6.39,602
6.4,561
6.41,580
6.42,517
6.43,569
6.44,509
6.45,450
6.46,479
6.47,465
6.48,526
6.49,604
6.5,518
6.51,457
6.52,520
6.53,479
6.54,540
6.55,508
6.56,460
6.57,480
6.58,525
6.59,591
6.6,638
6.61,574
6.62,626
6.63,556
6.64,555
6.65,545
6.66,497
6.67,519
6.68,522
6.69,521
6.7,602
6.71,623
6.72,568
6.73,536
6.74,601
6.75,600
6.76,623
6.77,624
6.78,582
6.79,525
6.8,495
6.81,504
6.82,546
6.83,590
6.84,557
6.85,517
6.86,426
6.87,350
6.88,352
6.89,369
6.9,386
6.91,436
6.92,414
6.93,369
6.94,451
6.95,447
6.96,428
6.97,519
6.98,556
6.99,571
7,568
7.01,598
7.02,532
7.03,468
7.04,491
7.05,518
7.06,562
7.07,559
7.08,450
7.09,500
7.1,444
7.11,495
7.12,511
7.13,507
7.14,484
7.15,488
7.16,578
7.17,498
7.18,524
7.19,499
7.2,451
7.21,435
7.22,414
7.23,376
7.24,373
7.25,358
7.26,373
7.27,425
7.28,525
7.29,531
7.3,510
7.31,582
7.32,581
7.33,521
7.34,512
7.35,580
7.36,574
7.37,577
7.38,562
7.39,535
7.4,504
7.41,477
7.42,494
7.43,546
7.44,453
7.45,469
7.46,460
7.47,478
7.48,411
7.49,438
7.5,390
7.51,392
7.52,426
7.53,417
7.54,424
7.55,562
7.56,695
7.57,635
7.58,666
7.59,630
7.6,569
7.61,584
7.62,580
7.63,559
7.64,631
7.65,624
7.66,610
7.67,601
7.68,546
7.69,531
7.7,548
7.71,560
7.72,541
7.73,507
7.74,520
7.75,497
7.76,540
7.77,589
7.78,511
7.79,516
7.8,479
7.81,549
7.82,473
7.83,498
7.84,576
7.85,517
7.86,542
7.87,543
7.88,540
7.89,451
7.9,504
7.91,654
7.92,723
7.93,568
7.94,510
7.95,531
7.96,545
7.97,562
7.98,512
7.99,513
8,481
8.01,518
8.02,604
8.03,536
8.04,519
8.05,454
8.06,536
8.07,558
8.08,491
8.09,513
8.1,512
8.11,519
8.12,527
8.13,569
8.14,536
8.15,511
8.16,540
8.17,509
8.18,533
8.19,502
8.2,490
8.21,504
8.22,456
8.23,513
8.24,479
8.25,518
8.26,573
8.27,563
8.28,553
8.29,552
8.3,487
8.31,497
8.32,404
8.33,431
8.34,476
8.35,485
8.36,512
8.37,467
8.38,476
8.39,513
8.4,477
8.41,415
8.42,400
8.43,429
8.44,432
8.45,516
8.46,503
8.47,474
8.48,472
8.49,576
8.5,554
8.51,532
8.52,545
8.53,475
8.54,540
8.55,601
8.56,612
8.57,555
8.58,584
8.59,600
8.6,560
8.61,538
8.62,518
8.63,494
8.64,514
8.65,565
8.66,513
8.67,422
8.68,430
8.69,479
8.7,394
8.71,397
8.72,435
8.73,499
8.74,535
8.75,446
8.76,595
8.77,554
8.78,432
8.79,486
8.8,469
8.81,441
8.82,489
8.83,487
8.84,529
8.85,504
8.86,492
8.87,528
8.88,515
8.89,455
8.9,522
8.91,516
8.92,520
8.93,488
8.94,487
8.95,540
8.96,480
8.97,370
8.98,512
8.99,620
9,578
9.01,548
9.02,575
9.03,503
9.04,540
9.05,511
9.06,569
9.07,568
9.08,590
9.09,586
9.1,559
9.11,535
9.12,528
9.13,535
9.14,529
9.15,547
9.16,487
9.17,549
9.18,473
9.19,446
9.2,446
9.21,466
9.22,435
9.23,508
9.24,475
9.25,536
9.26,458
9.27,529
9.28,528
9.29,509
9.3,503
9.31,494
9.32,443
9.33,610
9.34,554
9.35,539
9.36,530
9.37,505
9.38,470
9.39,444
9.4,437
9.41,416
9.42,417
9.43,502
9.44,452
9.45,506
9.46,401
9.47,390
9.48,465
9.49,511
9.5,531
9.51,521
9.52,525
9.53,523
9.54,505
9.55,552
9.56,455
9.57,492
9.58,577
9.59,543
9.6,511
9.61,542
9.62,535
9.63,571
9.64,572
9.65,460
9.66,529
9.67,530
9.68,560
9.69,595
9.7,611
9.71,584
9.72,542
9.73,494
9.74,543
9.75,434
9.76,489
9.77,556
9.78,472
9.79,490
9.8,406
9.81,505
9.82,572
9.83,510
9.84,520
9.85,557
9.86,543
9.87,556
9.88,500
9.89,452
9.9,426
9.91,390
9.92,374
9.93,382
9.94,474
9.95,455
9.96,418
9.97,473
9.98,499
9.99,472
10,528
10.01,546
10.02,545
10.03,508
10.04,557
10.05,538
10.06,534
10.07,493
10.08,576
10.09,536
10.1,454
10.11,496
10.12,505
10.13,479
10.14,499
10.15,541
10.16,489
10.17,506
10.18,553
10.19,576
10.2,500
10.21,503
10.22,408
10.23,440
10.24,327
10.25,521
10.26,448
10.27,482
10.28,535
10.29,547
10.3,436
10.31,621
10.32,627
10.33,523
10.34,432
10.35,554
10.36,512
10.37,461
10.38,474
10.39,513
10.4,428
10.41,407
10.42,436
10.43,437
10.44,413
10.45,423
10.46,514
10.47,571
10.48,578
10.49,532
10.5,475
10.51,336
10.52,431
10.53,510
10.54,595
10.55,629
10.56,578
10.57,623
10.58,600
10.59,659
10.6,631
10.61,519
10.62,493
10.63,527
10.64,616
10.65,596
10.66,607
10.67,508
10.68,574
10.69,519
10.7,572
10.71,561
10.72,566
10.73,547
10.74,599
10.75,600
10.76,560
10.77,557
10.78,577
10.79,555
10.8,528
10.81,515
10.82,531
10.83,554
10.84,489
10.85,531
10.86,392
10.87,586
10.88,602
10.89,615
10.9,657
10.91,609
10.92,496
10.93,466
10.94,516
10.95,536
10.96,488
10.97,468
10.98,386
10.99,451
11,421
11.01,360
11.02,430
11.03,391
11.04,463
11.05,479
11.06,583
11.07,553
11.08,504
11.09,526
11.1,532
11.11,467
11.12,471
11.13,468
11.14,455
11.15,462
11.16,387
