Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0,0,0,0,0,0,0,0,0
0.004,2863.616093,-5985.551296,-88135.36473,-88070.09763,2404.019523,44572.083,8933.589927,18153.10337
0.008,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165490.8184,-153995.6515
0.012,3557.011909,-10439.18108,-177724.5093,-177764.4518,6565.199085,90764.1981,18206.56874,35768.33436
0.016,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165569.1612,-154053.8331
0.02,5392.693626,-11331.01569,-177107.8246,-176994.0543,5189.493917,89594.01722,18131.53394,36203.8581
0.024,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165488.8738,-153994.2433
0.028,3662.713309,-10633.41774,-177505.6633,-177547.394,6416.738798,90590.70386,18144.05091,35779.51023
0.032,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165564.7132,-154052.3355
0.036,5225.167301,-11133.42626,-177308.5209,-177205.5241,5373.761698,89761.20827,18213.09545,36148.91751
0.04,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165493.8582,-154000.5465
0.044,3831.200758,-10810.44356,-177309.9291,-177348.0165,6260.164828,90427.62553,18120.22395,35833.80262
0.048,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165557.4936,-154050.7262
0.052,5027.041438,-10946.31981,-177518.0462,-177409.8414,5550.273424,89921.7832,18273.37811,36085.21504
0.056,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165497.3451,-154006.0003
0.06,4055.634624,-11027.18842,-177091.5749,-177125.3037,6035.172169,90204.71158,18036.76254,35855.9532
0.064,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165546.8766,-154046.4123
0.068,4786.246095,-10739.76734,-177701.3529,-177609.5542,5756.356508,90129.76618,18308.47035,35997.5515
0.072,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165503.7824,-154012.6835
0.076,4300.453281,-11182.10836,-176916.2925,-176924.585,5839.125018,90042.41556,18006.99002,35926.78588
0.08,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165540.1487,-154044.3783
0.084,4526.563528,-10531.35968,-177879.228,-177814.2515,5998.984694,90349.32737,18367.14367,35947.23772
0.088,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165516.7688,-154024.664
0.092,4569.188305,-11337.18477,-176763.5407,-176759.808,5649.112838,89871.89411,17982.67132,36008.07917
0.096,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165530.7386,-154038.7233
0.1,4281.700168,-10417.34343,-177995.0548,-177958.3085,6152.831751,90489.62927,18378.78893,35898.57798
0.104,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165522.4237,-154028.1733
0.108,4815.102198,-11506.96862,-176622.9035,-176610.0513,5450.204664,89676.20458,17941.52176,36073.32391
0.112,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165520.658,-154032.733
0.116,4026.823226,-10307.12698,-178074.8058,-178049.0119,6344.11798,90635.87673,18399.15137,35851.43815
0.12,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165534.8737,-154040.042
0.124,5058.512695,-11586.11615,-176568.1865,-176514.5199,5312.160291,89551.01246,17971.04841,36145.40829
0.128,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165508.588,-154024.9993
0.132,3813.006438,-10167.29446,-178132.5851,-178112.1332,6556.54896,90820.94918,18444.45836,35824.14667
0.136,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165548.8659,-154052.8943
0.14,5271.994206,-11629.88086,-176571.9192,-176490.693,5193.137252,89458.87857,18014.92489,36232.46833
0.144,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165502.8436,-154023.1665
0.148,3660.746355,-10177.48686,-178110.7698,-178110.4121,6634.377734,90845.17847,18413.85882,35791.62488
