Fs=100
t,x
0,527
0.01,531
0.02,526
0.03,511
0.04,500
0.05,503
0.06,505
0.07,506
0.08,508
0.09,510
0.1,504
0.11,491
0.12,490
0.13,574
0.14,705
0.15,691
0.16,547
0.17,448
0.18,429
0.19,455
0.2,468
0.21,494
0.22,503
0.23,502
0.24,511
0.25,515
0.26,519
0.27,518
0.28,527
0.29,527
0.3,531
0.31,540
0.32,549
0.33,559
0.34,572
0.35,572
0.36,572
0.37,566
0.38,550
0.39,527
0.4,497
0.41,481
0.42,463
0.43,454
0.44,452
0.45,456
0.46,456
0.47,459
0.48,463
0.49,467
0.5,473
0.51,478
0.52,484
0.53,483
0.54,487
0.55,488
0.56,489
0.57,497
0.58,497
0.59,501
0.6,501
0.61,504
0.62,504
0.63,502
0.64,510
0.65,512
0.66,503
0.67,508
0.68,507
0.69,503
0.7,506
0.71,507
0.72,510
0.73,510
0.74,507
0.75,506
0.76,508
0.77,506
0.78,505
0.79,506
0.8,509
0.81,512
0.82,512
0.83,518
0.84,516
0.85,513
0.86,526
0.87,524
0.88,521
0.89,502
0.9,499
0.91,498
0.92,504
0.93,499
0.94,504
0.95,502
0.96,501
0.97,496
0.98,487
0.99,559
1,680
1.01,687
1.02,559
1.03,453
1.04,418
1.05,441
1.06,457
1.07,483
1.08,497
1.09,502
1.1,501
1.11,507
1.12,512
1.13,514
1.14,513
1.15,515
1.16,525
1.17,539
1.18,537
1.19,544
1.2,552
1.21,571
1.22,558
1.23,551
1.24,549
1.25,527
1.26,504
1.27,483
1.28,463
1.29,452
1.3,442
1.31,446
1.32,454
1.33,450
1.34,465
1.35,462
1.36,462
1.37,469
1.38,476
1.39,483
1.4,484
1.41,482
1.42,493
1.43,487
1.44,489
1.45,498
1.46,492
1.47,501
1.48,491
1.49,493
1.5,504
1.51,500
1.52,502
1.53,502
1.54,505
1.55,502
1.56,506
1.57,505
1.58,503
1.59,501
1.6,509
1.61,501
1.62,512
1.63,503
1.64,512
1.65,508
1.66,508
1.67,508
1.68,512
1.69,512
1.7,515
1.71,511
1.72,520
1.73,514
1.74,521
1.75,516
1.76,524
1.77,522
1.78,505
1.79,503
1.8,510
1.81,500
1.82,504
1.83,507
1.84,504
1.85,506
1.86,492
1.87,492
1.88,538
1.89,664
1.9,716
1.91,585
1.92,462
1.93,416
1.94,445
1.95,455
1.96,481
1.97,491
1.98,509
1.99,499
2,504
2.01,508
2.02,513
2.03,513
2.04,527
2.05,528
2.06,532
2.07,539
2.08,548
2.09,560
2.1,571
2.11,566
2.12,561
2.13,556
2.14,529
2.15,511
2.16,485
2.17,457
2.18,455
2.19,445
2.2,446
2.21,455
2.22,453
2.23,456
2.24,463
2.25,466
2.26,472
2.27,476
2.28,476
2.29,485
2.3,486
2.31,488
2.32,488
2.33,494
2.34,490
2.35,498
2.36,494
2.37,501
2.38,500
2.39,499
2.4,504
2.41,502
2.42,504
2.43,506
2.44,508
2.45,507
2.46,505
2.47,507
2.48,513
2.49,510
2.5,506
2.51,511
2.52,507
2.53,510
2.54,512
2.55,508
2.56,509
2.57,512
2.58,512
2.59,513
2.6,510
2.61,511
2.62,513
2.63,510
2.64,513
2.65,513
2.66,517
2.67,513
2.68,521
2.69,523
2.7,522
2.71,509
2.72,501
2.73,499
2.74,500
2.75,503
2.76,500
2.77,497
2.78,496
2.79,499
2.8,485
2.81,503
2.82,622
2.83,728
2.84,633
2.85,487
2.86,419
2.87,437
2.88,451
2.89,473
2.9,490
2.91,494
2.92,496
2.93,501
2.94,505
2.95,512
2.96,513
2.97,518
2.98,521
2.99,526
