Fs=100
t,x
0,511
0.01,474
0.02,478
0.03,476
0.04,503
0.05,451
0.06,502
0.07,484
0.08,446
0.09,502
0.1,465
0.11,429
0.12,455
0.13,597
0.14,726
0.15,606
0.16,483
0.17,349
0.18,352
0.19,442
0.2,427
0.21,519
0.22,513
0.23,519
0.24,516
0.25,495
0.26,532
0.27,551
0.28,582
0.29,554
0.3,568
0.31,540
0.32,601
0.33,535
0.34,516
0.35,507
0.36,504
0.37,472
0.38,504
0.39,496
0.4,470
0.41,479
0.42,443
0.43,496
0.44,460
0.45,525
0.46,458
0.47,497
0.48,485
0.49,462
0.5,510
0.51,528
0.52,451
0.53,432
0.54,485
0.55,484
0.56,505
0.57,436
0.58,454
0.59,449
0.6,586
0.61,727
0.62,618
0.63,459
0.64,394
0.65,396
0.66,452
0.67,489
0.68,480
0.69,482
0.7,524
0.71,508
0.72,526
0.73,571
0.74,486
0.75,607
0.76,576
0.77,575
0.78,591
0.79,530
0.8,582
0.81,496
0.82,558
0.83,537
0.84,477
0.85,525
0.86,461
0.87,487
0.88,474
0.89,483
0.9,498
0.91,466
0.92,496
0.93,475
0.94,531
0.95,512
0.96,511
0.97,477
0.98,508
0.99,539
1,472
1.01,485
1.02,485
1.03,490
1.04,520
1.05,447
1.06,500
1.07,451
1.08,558
1.09,700
1.1,635
1.11,472
1.12,416
1.13,413
1.14,434
1.15,471
1.16,489
1.17,485
1.18,489
1.19,492
1.2,527
1.21,540
1.22,520
1.23,565
1.24,542
1.25,538
1.26,556
1.27,576
1.28,540
1.29,519
1.3,504
1.31,484
1.32,529
1.33,474
1.34,453
1.35,539
1.36,499
1.37,437
1.38,484
1.39,511
1.4,539
1.41,449
1.42,477
1.43,517
1.44,524
1.45,493
1.46,476
1.47,491
1.48,496
1.49,473
1.5,509
1.51,465
1.52,512
1.53,463
1.54,499
1.55,679
1.56,634
1.57,565
1.58,396
1.59,364
1.6,458
1.61,455
1.62,500
1.63,523
1.64,500
1.65,467
1.66,547
1.67,531
1.68,550
1.69,559
1.7,498
1.71,585
1.72,587
1.73,543
1.74,558
1.75,521
1.76,542
1.77,505
1.78,504
1.79,512
1.8,467
1.81,473
