Fs=100
t,x
0,842
0.01,899
0.02,917
0.03,935
0.04,893
0.05,841
0.06,813
0.07,728
0.08,822
0.09,852
0.1,868
0.11,900
0.12,892
0.13,891
0.14,759
0.15,775
0.16,712
0.17,716
0.18,641
0.19,687
0.2,613
0.21,587
0.22,616
0.23,611
0.24,604
0.25,619
0.26,641
0.27,654
0.28,523
0.29,429
0.3,412
0.31,462
0.32,440
0.33,405
0.34,364
0.35,369
0.36,444
0.37,356
0.38,389
0.39,449
0.4,480
0.41,464
0.42,486
0.43,440
0.44,531
0.45,598
0.46,493
0.47,512
0.48,460
0.49,471
0.5,554
0.51,585
0.52,487
0.53,423
0.54,417
0.55,363
0.56,417
0.57,312
0.58,432
0.59,475
0.6,490
0.61,398
0.62,436
0.63,443
0.64,413
0.65,392
0.66,397
0.67,394
0.68,416
0.69,419
0.7,417
0.71,487
0.72,524
0.73,484
0.74,456
0.75,531
0.76,547
0.77,518
0.78,527
0.79,509
0.8,475
0.81,473
0.82,439
0.83,451
0.84,414
0.85,448
0.86,497
0.87,516
0.88,499
0.89,452
0.9,591
0.91,636
0.92,600
0.93,630
0.94,590
0.95,633
0.96,559
0.97,519
0.98,495
0.99,478
1,516
1.01,508
1.02,515
1.03,520
1.04,533
1.05,553
1.06,518
1.07,516
1.08,495
1.09,508
1.1,506
1.11,579
1.12,591
1.13,640
1.14,606
1.15,573
1.16,520
1.17,483
1.18,516
1.19,504
1.2,505
1.21,515
1.22,532
1.23,555
1.24,536
1.25,504
1.26,466
1.27,469
1.28,455
1.29,443
1.3,480
1.31,488
1.32,513
1.33,530
1.34,579
1.35,558
1.36,545
1.37,499
1.38,540
1.39,526
1.4,531
1.41,537
1.42,560
1.43,586
1.44,619
1.45,546
1.46,496
1.47,486
1.48,494
1.49,434
1.5,371
1.51,366
1.52,415
1.53,412
1.54,459
1.55,528
1.56,489
1.57,509
1.58,561
1.59,568
1.6,555
1.61,504
1.62,495
1.63,457
1.64,495
1.65,487
1.66,535
1.67,584
1.68,512
1.69,468
1.7,563
1.71,539
1.72,568
1.73,470
1.74,512
1.75,522
1.76,515
1.77,450
1.78,478
1.79,535
1.8,435
1.81,513
1.82,540
1.83,536
1.84,505
1.85,574
1.86,554
1.87,516
1.88,535
1.89,549
1.9,553
1.91,534
1.92,528
1.93,563
1.94,566
1.95,490
1.96,534
1.97,511
1.98,493
1.99,504
2,474
2.01,549
2.02,526
2.03,598
2.04,575
2.05,578
2.06,571
2.07,571
2.08,573
2.09,585
2.1,621
2.11,649
2.12,608
2.13,605
2.14,535
2.15,528
2.16,527
2.17,534
2.18,548
2.19,510
2.2,519
2.21,530
2.22,651
2.23,675
2.24,737
2.25,644
2.26,646
2.27,615
2.28,622
2.29,512
2.3,563
2.31,603
2.32,633
2.33,567
2.34,558
2.35,547
2.36,544
2.37,477
2.38,480
2.39,505
2.4,452
2.41,478
2.42,430
2.43,447
2.44,493
2.45,576
2.46,560
2.47,458
2.48,478
2.49,508
2.5,361
2.51,248
2.52,295
2.53,352
2.54,436
2.55,415
2.56,353
2.57,415
2.58,441
2.59,379
2.6,366
2.61,439
2.62,401
2.63,410
2.64,458
2.65,476
2.66,500
2.67,471
2.68,370
2.69,422
2.7,466
2.71,473
2.72,458
2.73,411
2.74,474
2.75,440
2.76,410
2.77,446
2.78,482
2.79,461
2.8,446
2.81,473
2.82,487
2.83,553
2.84,543
2.85,530
2.86,513
2.87,451
2.88,489
2.89,424
2.9,460
2.91,518
2.92,526
2.93,472
2.94,531
2.95,506
2.96,509
2.97,474
2.98,569
2.99,504
3,536
3.01,537
3.02,540
3.03,504
3.04,544
3.05,531
3.06,495
3.07,530
3.08,569
3.09,546
3.1,483
3.11,538
3.12,504
3.13,456
3.14,492
3.15,496
3.16,516
3.17,519
3.18,599
3.19,634
3.2,584
3.21,580
3.22,557
3.23,592
3.24,552
3.25,508
3.26,504
3.27,527
3.28,494
3.29,473
3.3,491
3.31,524
3.32,515
3.33,515
3.34,473
3.35,458
3.36,432
3.37,443
3.38,428
3.39,414
3.4,421
3.41,446
3.42,473
3.43,473
3.44,512
3.45,465
3.46,502
3.47,510
3.48,492
3.49,502
3.5,534
3.51,477
3.52,510
3.53,521
3.54,569
3.55,575
3.56,719
3.57,678
3.58,649
3.59,559
3.6,536
3.61,523
3.62,524
3.63,504
3.64,510
3.65,548
3.66,508
3.67,529
3.68,529
3.69,506
3.7,499
3.71,504
3.72,510
3.73,578
3.74,542
3.75,434
3.76,385
3.77,386
3.78,425
3.79,483
3.8,423
3.81,458
3.82,505
3.83,457
3.84,430
3.85,400
3.86,495
3.87,457
3.88,457
3.89,486
3.9,516
3.91,592
3.92,569
3.93,592
3.94,601
3.95,599
3.96,607
3.97,594
3.98,551
3.99,486
4,443
4.01,460
4.02,513
4.03,508
4.04,521
4.05,567
4.06,561
4.07,535
4.08,540
4.09,527
4.1,513
4.11,483
4.12,471
4.13,536
4.14,574
4.15,533
4.16,573
4.17,574
4.18,579
4.19,509
4.2,551
4.21,531
4.22,452
4.23,510
4.24,563
4.25,511
4.26,567
4.27,622
4.28,703
4.29,655
4.3,654
4.31,619
4.32,592
4.33,533
4.34,514
4.35,543
4.36,578
4.37,538
4.38,512
4.39,458
4.4,484
4.41,514
4.42,519
4.43,478
4.44,514
4.45,468
4.46,536
4.47,462
4.48,453
4.49,496
4.5,450
4.51,425
4.52,417
4.53,412
4.54,441
4.55,401
4.56,412
4.57,441
4.58,492
4.59,478
4.6,491
4.61,556
4.62,561
4.63,591
4.64,577
4.65,547
4.66,531
4.67,563
4.68,524
4.69,504
4.7,520
4.71,555
4.72,585
4.73,593
4.74,569
4.75,529
4.76,522
4.77,527
4.78,543
4.79,504
4.8,529
4.81,552
4.82,557
4.83,578
4.84,564
4.85,536
4.86,590
4.87,583
4.88,523
4.89,507
4.9,504
4.91,536
4.92,573
4.93,519
4.94,508
4.95,508
4.96,549
4.97,487
4.98,485
4.99,533
5,547
5.01,492
5.02,510
5.03,429
5.04,418
5.05,403
5.06,402
5.07,476
5.08,486
5.09,457
5.1,504
5.11,521
5.12,483
5.13,514
5.14,468
5.15,474
5.16,548
5.17,577
5.18,514
5.19,528
5.2,551
5.21,535
5.22,503
5.23,558
5.24,595
5.25,598
5.26,575
5.27,591
5.28,550
5.29,573
5.3,568
5.31,549
5.32,559
5.33,451
5.34,441
5.35,493
5.36,440
5.37,438
5.38,526
5.39,418
5.4,489
5.41,463
5.42,365
5.43,419
5.44,385
5.45,408
5.46,447
5.47,466
5.48,492
5.49,530
5.5,464
5.51,474
5.52,440
5.53,397
5.54,442
5.55,487
5.56,513
5.57,528
5.58,499
5.59,544
5.6,424
5.61,448
5.62,488
5.63,446
5.64,456
5.65,420
5.66,436
5.67,467
5.68,518
5.69,535
5.7,528
