Fs=100
t,x
0,510
0.01,512
0.02,511
0.03,510
0.04,508
0.05,508
0.06,508
0.07,510
0.08,510
0.09,508
0.1,511
0.11,509
0.12,511
0.13,507
0.14,510
0.15,509
0.16,507
0.17,510
0.18,509
0.19,509
0.2,511
0.21,512
0.22,510
0.23,508
0.24,509
0.25,512
0.26,509
0.27,509
0.28,510
0.29,508
0.3,513
0.31,510
0.32,509
0.33,510
0.34,510
0.35,509
0.36,510
0.37,508
0.38,509
0.39,507
0.4,506
0.41,509
0.42,510
0.43,511
0.44,510
0.45,509
0.46,511
0.47,510
0.48,510
0.49,509
0.5,510
0.51,510
0.52,508
0.53,511
0.54,508
0.55,510
0.56,511
0.57,511
0.58,511
0.59,509
0.6,512
0.61,508
0.62,509
0.63,512
0.64,508
0.65,510
0.66,509
0.67,510
0.68,510
0.69,510
0.7,510
0.71,512
0.72,510
0.73,511
0.74,507
0.75,512
0.76,510
0.77,510
0.78,511
0.79,506
0.8,511
0.81,510
0.82,509
0.83,511
0.84,509
0.85,513
0.86,508
0.87,509
0.88,510
0.89,506
0.9,511
0.91,511
0.92,511
0.93,511
0.94,510
0.95,508
0.96,513
0.97,509
0.98,512
0.99,508
1,510
1.01,510
1.02,508
1.03,512
1.04,509
1.05,510
1.06,509
1.07,510
1.08,510
1.09,510
1.1,509
1.11,510
1.12,511
1.13,513
1.14,507
1.15,511
1.16,510
1.17,509
1.18,511
1.19,509
1.2,511
1.21,508
1.22,508
1.23,510
1.24,511
1.25,510
1.26,511
1.27,511
1.28,510
1.29,509
1.3,510
1.31,511
1.32,508
1.33,509
1.34,508
1.35,509
1.36,510
1.37,511
1.38,510
1.39,508
1.4,511
1.41,507
1.42,510
1.43,508
1.44,510
1.45,511
1.46,510
1.47,508
1.48,510
1.49,509
1.5,515
1.51,507
1.52,514
1.53,508
1.54,513
1.55,510
1.56,509
1.57,513
1.58,505
1.59,503
1.6,511
1.61,509
1.62,513
1.63,510
1.64,508
1.65,510
1.66,508
1.67,511
1.68,510
1.69,510
1.7,508
1.71,507
1.72,512
1.73,510
1.74,510
1.75,508
1.76,509
1.77,512
1.78,509
1.79,510
1.8,510
1.81,505
1.82,513
1.83,510
1.84,511
1.85,510
1.86,509
1.87,511
1.88,509
1.89,511
1.9,510
1.91,507
1.92,515
1.93,509
1.94,509
1.95,510
1.96,509
1.97,509
1.98,510
1.99,508
2,511
2.01,509
2.02,512
2.03,510
2.04,510
2.05,511
2.06,507
2.07,514
2.08,510
2.09,509
2.1,511
2.11,509
2.12,511
2.13,510
2.14,508
2.15,510
2.16,510
2.17,512
2.18,508
2.19,506
2.2,511
2.21,510
2.22,512
2.23,510
2.24,509
2.25,511
2.26,507
2.27,513
2.28,511
2.29,508
2.3,511
2.31,510
2.32,511
2.33,512
2.34,509
2.35,511
2.36,510
2.37,513
2.38,504
2.39,508
2.4,511
2.41,508
2.42,512
2.43,511
2.44,507
2.45,512
2.46,505
2.47,510
2.48,512
2.49,509
2.5,513
2.51,508
2.52,511
2.53,510
2.54,508
2.55,515
2.56,508
2.57,511
2.58,511
2.59,511
2.6,512
2.61,508
2.62,510
2.63,510
2.64,511
2.65,512
2.66,504
2.67,515
2.68,509
2.69,508
2.7,509
2.71,508
2.72,514
2.73,508
2.74,509
2.75,512
2.76,507
2.77,511
2.78,510
2.79,510
2.8,512
2.81,510
2.82,509
2.83,509
2.84,509
2.85,511
2.86,509
2.87,512
2.88,513
2.89,509
2.9,513
2.91,508
2.92,511
2.93,511
2.94,512
2.95,513
2.96,504
2.97,514
2.98,509
2.99,504
3,514
3.01,510
3.02,512
3.03,511
3.04,508
3.05,513
3.06,508
3.07,507
3.08,520
3.09,496
3.1,509
3.11,507
3.12,511
3.13,508
3.14,507
3.15,515
3.16,509
3.17,512
3.18,508
3.19,510
3.2,513
3.21,505
3.22,511
3.23,507
3.24,507
3.25,509
3.26,514
3.27,504
3.28,507
3.29,502
3.3,512
3.31,507
3.32,514
3.33,508
3.34,508
3.35,515
3.36,508
3.37,512
3.38,512
3.39,507
3.4,516
3.41,508
3.42,509
3.43,511
3.44,507
3.45,515
3.46,510
3.47,513
3.48,513
3.49,508
3.5,509
3.51,505
3.52,509
3.53,510
3.54,506
3.55,512
3.56,508
3.57,509
3.58,511
3.59,507
3.6,515
3.61,506
3.62,509
3.63,515
3.64,507
3.65,513
3.66,506
3.67,508
3.68,511
3.69,504
3.7,513
3.71,509
3.72,510
3.73,511
3.74,505
3.75,513
3.76,506
3.77,511
3.78,512
3.79,502
3.8,512
3.81,508
3.82,510
3.83,515
3.84,504
3.85,516
3.86,508
3.87,508
3.88,512
3.89,507
3.9,515
3.91,503
3.92,510
3.93,511
3.94,505
3.95,518
3.96,507
3.97,511
3.98,512
3.99,505
4,516
4.01,503
4.02,508
4.03,513
4.04,505
4.05,516
4.06,505
4.07,511
4.08,508
4.09,504
4.1,515
4.11,504
4.12,511
4.13,511
4.14,508
4.15,509
4.16,502
4.17,513
4.18,511
4.19,504
4.2,512
4.21,502
4.22,512
4.23,513
4.24,507
4.25,515
4.26,503
4.27,511
4.28,512
4.29,509
4.3,514
4.31,504
4.32,509
4.33,512
4.34,506
4.35,518
4.36,506
4.37,509
4.38,514
4.39,509
4.4,515
4.41,503
4.42,508
4.43,509
4.44,511
4.45,517
4.46,504
4.47,511
4.48,511
4.49,496
4.5,515
4.51,502
4.52,503
4.53,511
4.54,509
4.55,515
4.56,504
4.57,513
4.58,512
4.59,508
4.6,515
4.61,507
4.62,519
4.63,511
4.64,510
4.65,516
4.66,508
4.67,510
4.68,511
4.69,502
4.7,515
4.71,507
4.72,511
4.73,511
4.74,506
4.75,512
4.76,506
4.77,514
4.78,512
4.79,507
4.8,515
4.81,503
4.82,512
4.83,512
4.84,505
4.85,514
4.86,504
4.87,512
4.88,514
4.89,508
4.9,517
4.91,505
4.92,513
4.93,507
4.94,507
4.95,515
4.96,501
4.97,511
4.98,512
4.99,505
5,516
5.01,508
5.02,512
5.03,507
5.04,506
5.05,516
5.06,506
5.07,512
5.08,512
5.09,507
5.1,516
5.11,505
5.12,508
5.13,514
5.14,506
5.15,516
5.16,507
5.17,513
5.18,512
5.19,504
5.2,519
5.21,505
5.22,510
5.23,515
5.24,504
5.25,517
5.26,506
5.27,511
5.28,514
5.29,505
5.3,512
5.31,508
5.32,512
5.33,515
5.34,504
5.35,515
5.36,504
5.37,511
5.38,514
5.39,507
5.4,512
5.41,506
5.42,510
5.43,513
5.44,507
5.45,515
5.46,504
5.47,508
5.48,513
5.49,508
5.5,513
5.51,505
5.52,511
5.53,512
5.54,508
5.55,513
5.56,505
5.57,510
5.58,513
5.59,509
5.6,515
5.61,507
5.62,509
5.63,511
5.64,508
5.65,513
5.66,508
5.67,509
5.68,512
5.69,507
5.7,515
5.71,508
5.72,511
5.73,512
5.74,506
5.75,515
5.76,506
5.77,511
5.78,512
5.79,507
5.8,512
5.81,507
5.82,514
5.83,515
5.84,505
5.85,515
5.86,504
5.87,511
5.88,510
5.89,509
5.9,515
5.91,504
5.92,511
5.93,512
5.94,509
5.95,512
5.96,507
5.97,510
5.98,513
5.99,508
6,512
6.01,508
6.02,510
6.03,514
6.04,508
6.05,511
6.06,506
6.07,508
6.08,513
6.09,506
6.1,512
6.11,508
6.12,508
6.13,513
6.14,507
6.15,513
6.16,508
6.17,507
6.18,515
6.19,505
6.2,512
6.21,507
6.22,510
6.23,512
6.24,505
6.25,511
6.26,508
6.27,510
6.28,513
6.29,507
6.3,512
6.31,508
6.32,509
6.33,515
6.34,503
6.35,512
6.36,507
6.37,509
6.38,513
6.39,504
6.4,512
6.41,506
6.42,507
6.43,514
6.44,505
6.45,513
6.46,507
6.47,510
6.48,513
6.49,506
6.5,511
6.51,509
6.52,510
6.53,512
6.54,507
6.55,514
6.56,506
6.57,510
6.58,511
6.59,509
6.6,517
6.61,507
6.62,510
6.63,514
6.64,507
6.65,513
6.66,508
6.67,511
6.68,512
6.69,505
6.7,512
6.71,507
6.72,511
6.73,512
6.74,507
6.75,511
6.76,509
6.77,510
6.78,511
6.79,507
6.8,513
6.81,505
6.82,509
6.83,513
6.84,509
6.85,514
6.86,505
6.87,510
6.88,508
6.89,506
6.9,513
6.91,509
6.92,512
6.93,512
6.94,506
6.95,514
6.96,506
6.97,511
6.98,512
6.99,506
7,514
7.01,507
7.02,511
7.03,508
7.04,508
7.05,514
7.06,504
7.07,514
7.08,509
7.09,508
7.1,513
7.11,505
7.12,514
7.13,510
7.14,508
7.15,515
7.16,507
7.17,512
7.18,510
7.19,505
7.2,512
7.21,507
7.22,512
7.23,509
7.24,506
7.25,515
7.26,509
7.27,511
7.28,510
7.29,508
7.3,511
7.31,507
7.32,512
7.33,508
7.34,507
7.35,515
7.36,508
7.37,511
7.38,508
7.39,506
7.4,515
7.41,507
7.42,512
7.43,510
7.44,509
7.45,512
7.46,508
7.47,513
7.48,508
7.49,508
7.5,512
7.51,508
7.52,513
7.53,509
7.54,506
7.55,510
7.56,508
7.57,512
7.58,512
7.59,508
7.6,515
7.61,507
7.62,511
7.63,510
7.64,507
7.65,513
7.66,505
7.67,511
7.68,511
7.69,505
7.7,512
7.71,505
7.72,512
7.73,511
7.74,505
7.75,512
7.76,507
7.77,512
7.78,511
7.79,505
7.8,514
7.81,508
7.82,509
7.83,512
7.84,508
7.85,514
7.86,507
7.87,513
7.88,510
7.89,505
7.9,515
7.91,505
7.92,512
7.93,510
7.94,509
7.95,513
7.96,506
7.97,511
7.98,513
7.99,506
8,515
8.01,507
8.02,511
8.03,512
8.04,508
8.05,513
8.06,506
8.07,512
8.08,512
8.09,505
8.1,515
8.11,507
8.12,512
8.13,512
8.14,506
8.15,511
8.16,505
8.17,510
8.18,508
8.19,507
8.2,512
8.21,505
8.22,511
8.23,510
8.24,509
8.25,513
8.26,509
8.27,511
8.28,511
8.29,510
8.3,512
8.31,508
8.32,513
8.33,508
8.34,509
8.35,511
8.36,509
8.37,511
8.38,510
8.39,510
8.4,512
8.41,510
8.42,511
8.43,511
8.44,509
8.45,512
8.46,510
8.47,511
8.48,508
8.49,507
8.5,512
8.51,508
8.52,512
8.53,513
8.54,508
8.55,512
8.56,509
8.57,512
8.58,511
8.59,508
8.6,512
8.61,505
8.62,513
8.63,512
8.64,511
8.65,513
8.66,508
8.67,509
8.68,511
8.69,510
8.7,511
8.71,509
8.72,512
8.73,511
8.74,506
8.75,512
8.76,510
8.77,509
8.78,510
8.79,507
8.8,513
8.81,507
8.82,511
8.83,509
8.84,511
8.85,514
8.86,510
8.87,511
8.88,512
8.89,507
8.9,513
8.91,507
8.92,510
8.93,509
8.94,507
8.95,510
8.96,508
8.97,512
8.98,513
8.99,506
9,512
9.01,508
9.02,509
9.03,509
9.04,506
9.05,513
9.06,509
9.07,510
9.08,511
9.09,507
9.1,511
9.11,507
9.12,512
9.13,512
9.14,511
9.15,514
9.16,504
9.17,511
9.18,510
9.19,509
9.2,515
9.21,505
9.22,512
9.23,507
9.24,513
9.25,514
9.26,504
9.27,512
9.28,507
9.29,506
9.3,514
9.31,504
9.32,509
9.33,508
9.34,505
9.35,515
9.36,505
9.37,514
9.38,510
9.39,503
9.4,519
9.41,506
9.42,512
9.43,509
9.44,505
9.45,514
9.46,507
9.47,512
9.48,510
9.49,505
9.5,521
9.51,504
9.52,508
9.53,519
9.54,500
9.55,516
9.56,503
9.57,511
9.58,520
9.59,499
9.6,518
9.61,504
9.62,510
9.63,517
9.64,501
9.65,520
9.66,500
9.67,511
9.68,517
9.69,499
9.7,519
9.71,505
9.72,512
9.73,518
9.74,497
9.75,519
9.76,507
9.77,508
9.78,519
9.79,499
9.8,518
9.81,507
9.82,507
9.83,519
9.84,501
9.85,519
9.86,506
9.87,505
9.88,519
9.89,497
9.9,518
9.91,509
9.92,507
9.93,519
9.94,499
9.95,517
9.96,509
9.97,507
9.98,521
9.99,500
10,515
10.01,510
10.02,510
10.03,520
10.04,503
10.05,515
10.06,507
10.07,507
10.08,522
10.09,500
10.1,515
10.11,509
10.12,510
10.13,519
10.14,499
10.15,516
10.16,510
10.17,508
10.18,519
10.19,497
10.2,516
10.21,509
10.22,511
10.23,520
10.24,500
10.25,518
10.26,504
10.27,508
10.28,521
10.29,500
10.3,515
10.31,508
10.32,508
10.33,519
10.34,502
10.35,515
10.36,510
10.37,509
10.38,519
10.39,499
10.4,517
10.41,507
10.42,506
10.43,522
10.44,503
10.45,516
10.46,508
10.47,504
10.48,519
10.49,501
10.5,515
10.51,510
10.52,507
10.53,522
10.54,502
10.55,513
10.56,511
10.57,506
10.58,520
10.59,500
10.6,515
10.61,509
10.62,509
10.63,520
10.64,504
10.65,514
10.66,508
10.67,509
10.68,519
10.69,501
10.7,513
10.71,508
10.72,506
10.73,512
10.74,511
10.75,509
10.76,510
10.77,507
10.78,513
10.79,508
10.8,512
10.81,508
10.82,510
10.83,515
10.84,507
10.85,509
10.86,511
10.87,507
10.88,514
10.89,507
10.9,511
10.91,509
10.92,507
10.93,515
10.94,506
10.95,511
10.96,510
10.97,505
10.98,514
10.99,506
11,509
11.01,511
11.02,510
11.03,513
11.04,506
11.05,510
11.06,510
11.07,509
11.08,514
11.09,506
11.1,510
11.11,508
11.12,508
11.13,515
11.14,509
11.15,510
11.16,511
11.17,507
11.18,514
11.19,506
11.2,510
11.21,511
11.22,509
11.23,513
11.24,509
11.25,512
11.26,511
11.27,508
11.28,515
11.29,508
11.3,521
11.31,505
11.32,507
11.33,511
11.34,500
11.35,519
11.36,504
11.37,512
11.38,518
11.39,506
11.4,509
11.41,511
11.42,507
11.43,519
11.44,508
11.45,512
11.46,509
11.47,508
11.48,514
11.49,506
11.5,510
11.51,510
11.52,507
11.53,512
11.54,508
11.55,511
11.56,511
11.57,506
11.58,514
11.59,508
11.6,511
11.61,510
11.62,506
11.63,512
11.64,509
11.65,509
11.66,510
11.67,506
11.68,514
11.69,506
11.7,509
11.71,510
11.72,509
11.73,511
11.74,510
11.75,509
11.76,511
11.77,508
11.78,514
11.79,508
11.8,508
11.81,510
11.82,505
11.83,512
11.84,508
11.85,510
11.86,510
11.87,506
11.88,513
11.89,507
11.9,508
11.91,512
11.92,509
11.93,512
11.94,510
11.95,507
11.96,511
11.97,510
11.98,515
11.99,506
12,510
12.01,511
12.02,504
12.03,512
12.04,511
12.05,509
12.06,511
12.07,508
12.08,514
12.09,510
12.1,508
12.11,512
12.12,506
12.13,514
12.14,510
12.15,510
12.16,511
12.17,506
12.18,513
12.19,508
12.2,512
12.21,510
12.22,507
12.23,514
12.24,507
12.25,511
12.26,512
12.27,508
12.28,516
12.29,507
12.3,509
12.31,511
12.32,509
12.33,513
12.34,508
12.35,508
12.36,508
12.37,508
12.38,513
12.39,506
12.4,509
12.41,511
12.42,507
12.43,513
12.44,506
12.45,511
12.46,509
12.47,509
12.48,514
12.49,508
12.5,511
12.51,511
12.52,508
12.53,511
12.54,510
12.55,510
12.56,511
12.57,508
12.58,512
12.59,508
12.6,507
12.61,513
12.62,506
12.63,514
12.64,508
12.65,510
12.66,511
12.67,508
12.68,512
12.69,509
12.7,507
12.71,513
12.72,509
12.73,515
12.74,507
12.75,504
12.76,511
12.77,508
12.78,514
12.79,509
12.8,509
12.81,510
12.82,505
12.83,513
12.84,507
12.85,511
12.86,510
12.87,505
12.88,513
12.89,505
12.9,509
12.91,512
12.92,507
12.93,515
12.94,508
12.95,508
12.96,512
12.97,507
12.98,511
12.99,506
13,510
13.01,509
13.02,505
13.03,515
13.04,508
13.05,509
13.06,509
13.07,504
13.08,512
13.09,509
13.1,509
13.11,511
13.12,508
13.13,514
13.14,509
13.15,510
13.16,513
13.17,506
13.18,514
13.19,510
13.2,509
13.21,510
13.22,506
13.23,513
13.24,507
13.25,507
13.26,508
13.27,506
13.28,513
13.29,508
13.3,508
13.31,510
13.32,504
13.33,515
13.34,510
13.35,510
13.36,511
13.37,506
13.38,514
13.39,508
13.4,507
13.41,515
13.42,507
13.43,512
13.44,509
13.45,510
13.46,511
13.47,504
13.48,513
13.49,511
13.5,509
13.51,509
13.52,507
13.53,515
13.54,509
13.55,508
13.56,511
13.57,507
13.58,513
13.59,508
13.6,509
13.61,512
13.62,505
13.63,514
13.64,509
13.65,506
13.66,511
13.67,510
13.68,514
13.69,509
13.7,509
13.71,511
13.72,506
13.73,511
13.74,510
13.75,508
13.76,510
13.77,507
13.78,512
13.79,509
13.8,510
13.81,509
13.82,506
13.83,512
13.84,509
13.85,507
13.86,512
13.87,508
13.88,512
13.89,508
13.9,509
13.91,511
13.92,507
13.93,515
13.94,511
13.95,508
13.96,511
13.97,504
13.98,515
13.99,508
14,511
14.01,510
14.02,504
14.03,510
14.04,507
14.05,508
14.06,513
14.07,505
14.08,512
14.09,508
14.1,508
14.11,512
14.12,507
14.13,510
14.14,510
14.15,511
14.16,510
14.17,506
14.18,510
14.19,511
14.2,509
14.21,511
14.22,505
14.23,512
14.24,512
14.25,509
14.26,510
14.27,506
14.28,514
14.29,508
14.3,508
14.31,510
14.32,507
14.33,512
14.34,505
14.35,509
14.36,511
14.37,507
14.38,511
14.39,509
14.4,508
14.41,512
14.42,508
14.43,512
14.44,510
14.45,510
14.46,514
14.47,505
14.48,511
14.49,508
14.5,506
14.51,510
14.52,507
14.53,515
14.54,508
14.55,508
14.56,512
14.57,506
14.58,512
14.59,510
14.6,508
14.61,514
14.62,504
14.63,513
14.64,508
14.65,508
14.66,512
14.67,507
14.68,513
14.69,509
14.7,508
14.71,511
14.72,506
14.73,512
14.74,510
14.75,505
14.76,513
14.77,507
14.78,512
14.79,510
14.8,506
14.81,511
14.82,503
14.83,510
14.84,509
14.85,508
14.86,513
14.87,507
14.88,514
14.89,510
14.9,510
14.91,510
14.92,507
14.93,511
14.94,509
14.95,508
14.96,515
14.97,505
14.98,512
14.99,511
15,508
15.01,514
15.02,506
15.03,510
15.04,511
15.05,506
15.06,516
15.07,506
15.08,512
15.09,508
15.1,509
15.11,516
15.12,505
15.13,510
15.14,510
15.15,508
15.16,514
15.17,505
15.18,514
15.19,511
15.2,507
15.21,510
15.22,505
15.23,512
15.24,508
15.25,511
15.26,509
15.27,504
15.28,512
15.29,512
15.3,509
15.31,514
15.32,507
15.33,510
15.34,510
15.35,508
15.36,516
15.37,503
15.38,512
15.39,510
15.4,509
15.41,515
15.42,502
15.43,511
15.44,510
15.45,510
15.46,513
15.47,508
15.48,513
15.49,512
15.5,510
15.51,512
15.52,506
15.53,511
15.54,509
15.55,507
15.56,516
15.57,505
15.58,512
15.59,511
15.6,510
15.61,507
15.62,508
15.63,511
15.64,512
15.65,508
15.66,511
15.67,508
15.68,511
15.69,510
15.7,510
15.71,513
15.72,509
15.73,511
15.74,509
15.75,508
15.76,514
15.77,505
15.78,510
15.79,511
15.8,508
15.81,512
15.82,508
15.83,511
15.84,508
15.85,508
15.86,513
15.87,505
15.88,509
15.89,510
15.9,506
15.91,513
15.92,506
15.93,510
15.94,510
15.95,511
15.96,513
15.97,501
15.98,511
15.99,512
16,507
16.01,515
16.02,507
16.03,514
16.04,509
16.05,506
16.06,513
16.07,505
16.08,513
16.09,509
16.1,507
16.11,514
16.12,505
16.13,515
16.14,512
16.15,507
16.16,517
16.17,508
16.18,512
16.19,511
16.2,510
16.21,511
16.22,507
16.23,510
16.24,507
16.25,506
16.26,513
16.27,509
16.28,511
16.29,511
16.3,508
16.31,515
16.32,507
16.33,511
16.34,509
16.35,508
16.36,512
16.37,508
16.38,511
16.39,509
16.4,508
16.41,513
16.42,508
16.43,513
16.44,507
16.45,508
16.46,514
16.47,505
16.48,511
16.49,511
16.5,507
16.51,513
16.52,508
16.53,513
16.54,510
16.55,505
16.56,513
16.57,508
16.58,513
16.59,512
16.6,507
16.61,515
16.62,507
16.63,513
16.64,511
16.65,509
16.66,516
16.67,508
16.68,512
16.69,509
16.7,509
16.71,518
16.72,508
16.73,511
16.74,509
16.75,507
16.76,512
16.77,508
16.78,511
16.79,515
16.8,510
16.81,513
16.82,505
16.83,505
16.84,512
16.85,508
16.86,510
16.87,514
16.88,510
16.89,515
16.9,510
16.91,519
16.92,506
16.93,513
16.94,511
16.95,509
16.96,513
16.97,507
16.98,515
16.99,507
17,507
17.01,504
17.02,508
17.03,513
17.04,511
17.05,507
17.06,518
17.07,500
17.08,510
17.09,511
17.1,513
17.11,513
17.12,505
17.13,506
17.14,500
17.15,510
17.16,514
17.17,509
17.18,511
17.19,510
17.2,510
17.21,516
17.22,504
17.23,511
17.24,508
17.25,503
17.26,510
17.27,507
17.28,511
17.29,514
17.3,507
17.31,515
17.32,500
17.33,514
17.34,510
17.35,506
17.36,515
