Fs=100
t,x
0,508
0.01,507
0.02,508
0.03,506
0.04,508
0.05,506
0.06,505
0.07,507
0.08,505
0.09,505
0.1,507
0.11,505
0.12,506
0.13,504
0.14,505
0.15,506
0.16,505
0.17,505
0.18,505
0.19,506
0.2,507
0.21,505
0.22,507
0.23,506
0.24,507
0.25,508
0.26,505
0.27,507
0.28,505
0.29,507
0.3,507
0.31,506
0.32,505
0.33,504
0.34,504
0.35,504
0.36,506
0.37,506
0.38,504
0.39,505
0.4,505
0.41,505
0.42,508
0.43,507
0.44,507
0.45,507
0.46,504
0.47,505
0.48,504
0.49,505
0.5,505
0.51,506
0.52,505
0.53,504
0.54,505
0.55,505
0.56,505
0.57,506
0.58,505
0.59,505
0.6,506
0.61,505
0.62,506
0.63,505
0.64,505
0.65,507
0.66,506
0.67,508
0.68,506
0.69,506
0.7,507
0.71,504
0.72,507
0.73,505
0.74,506
0.75,506
0.76,506
0.77,507
0.78,505
0.79,506
0.8,507
0.81,506
0.82,508
0.83,505
0.84,505
0.85,506
0.86,506
0.87,507
0.88,504
0.89,505
0.9,505
0.91,504
0.92,505
0.93,503
0.94,504
0.95,505
0.96,504
0.97,507
0.98,506
0.99,507
1,507
1.01,506
1.02,508
1.03,504
1.04,506
1.05,506
1.06,504
1.07,505
1.08,504
1.09,505
1.1,507
1.11,506
1.12,506
1.13,504
1.14,506
1.15,507
1.16,505
1.17,505
1.18,505
1.19,506
1.2,507
1.21,507
1.22,505
1.23,505
1.24,505
1.25,506
1.26,505
1.27,505
1.28,503
1.29,506
1.3,506
1.31,504
1.32,505
1.33,504
1.34,504
1.35,505
1.36,504
1.37,505
1.38,504
1.39,505
1.4,505
1.41,504
1.42,505
1.43,504
1.44,506
1.45,507
1.46,506
1.47,508
1.48,504
1.49,505
1.5,506
1.51,505
1.52,507
1.53,504
1.54,503
1.55,505
1.56,506
1.57,506
1.58,505
1.59,507
1.6,507
1.61,505
1.62,507
1.63,505
1.64,504
1.65,507
1.66,504
1.67,506
1.68,506
1.69,506
1.7,507
1.71,505
1.72,507
1.73,506
1.74,507
1.75,507
1.76,505
1.77,508
1.78,506
1.79,506
1.8,509
1.81,507
1.82,511
1.83,514
1.84,516
1.85,517
1.86,514
1.87,512
1.88,505
1.89,502
1.9,501
1.91,502
1.92,502
1.93,502
1.94,502
1.95,503
1.96,501
1.97,504
1.98,494
1.99,499
2,545
2.01,585
2.02,562
2.03,500
2.04,457
2.05,483
2.06,491
2.07,494
2.08,494
2.09,496
2.1,499
2.11,500
2.12,501
2.13,503
2.14,506
2.15,508
2.16,507
2.17,510
2.18,511
2.19,510
2.2,513
2.21,513
2.22,513
2.23,513
2.24,515
2.25,518
2.26,515
2.27,512
2.28,506
2.29,503
2.3,496
2.31,488
2.32,487
2.33,488
2.34,491
2.35,492
2.36,493
2.37,496
2.38,495
2.39,498
2.4,502
2.41,500
2.42,502
2.43,499
2.44,503
2.45,503
2.46,502
2.47,503
2.48,502
2.49,505
2.5,505
2.51,504
2.52,507
2.53,504
2.54,505
2.55,507
2.56,507
2.57,506
2.58,505
2.59,505
2.6,507
2.61,506
2.62,507
2.63,506
2.64,507
2.65,508
2.66,508
2.67,507
2.68,505
2.69,507
2.7,507
2.71,507
2.72,508
2.73,505
2.74,505
2.75,507
2.76,506
2.77,507
2.78,506
2.79,507
2.8,508
2.81,507
2.82,512
2.83,513
2.84,515
2.85,515
2.86,512
2.87,510
2.88,505
2.89,502
2.9,502
2.91,502
2.92,504
2.93,503
2.94,504
2.95,505
2.96,504
2.97,504
2.98,492
2.99,518
3,563
3.01,588
3.02,540
3.03,478
3.04,464
3.05,488
3.06,491
3.07,494
3.08,495
3.09,498
3.1,500
3.11,502
3.12,503
3.13,504
3.14,505
3.15,508
3.16,509
3.17,512
3.18,509
3.19,512
3.2,513
3.21,513
3.22,514
3.23,515
3.24,519
3.25,518
3.26,514
3.27,510
3.28,504
3.29,499
3.3,493
3.31,489
3.32,490
3.33,488
3.34,491
3.35,494
3.36,493
3.37,496
3.38,494
3.39,497
3.4,499
3.41,499
3.42,502
3.43,500
3.44,501
3.45,503
3.46,502
3.47,503
3.48,501
3.49,504
3.5,506
3.51,505
3.52,507
3.53,505
3.54,506
3.55,507
3.56,506
3.57,509
3.58,508
3.59,507
3.6,508
3.61,505
3.62,506
3.63,507
3.64,508
3.65,508
3.66,508
3.67,508
3.68,506
3.69,508
3.7,508
3.71,506
3.72,507
3.73,506
3.74,506
3.75,508
3.76,507
3.77,508
3.78,506
3.79,507
3.8,508
3.81,510
3.82,515
3.83,514
3.84,516
3.85,516
3.86,511
3.87,508
3.88,502
3.89,502
3.9,503
3.91,500
3.92,503
3.93,502
3.94,503
3.95,504
3.96,502
3.97,499
3.98,493
3.99,536
4,580
4.01,572
4.02,513
4.03,457
4.04,477
4.05,492
4.06,494
4.07,495
4.08,496
4.09,500
4.1,504
4.11,503
4.12,504
4.13,504
4.14,506
4.15,508
4.16,509
4.17,510
4.18,509
4.19,511
4.2,511
4.21,513
4.22,515
4.23,517
4.24,518
4.25,520
4.26,513
4.27,509
4.28,504
4.29,498
4.3,491
4.31,487
4.32,489
4.33,487
4.34,493
4.35,495
4.36,495
4.37,496
4.38,497
4.39,498
4.4,500
4.41,501
4.42,500
4.43,500
4.44,502
4.45,503
4.46,504
4.47,505
4.48,504
4.49,504
4.5,506
4.51,505
4.52,506
4.53,503
4.54,505
4.55,507
4.56,505
4.57,506
4.58,505
4.59,506
4.6,508
4.61,507
4.62,506
4.63,507
4.64,507
4.65,509
4.66,507
4.67,508
4.68,507
4.69,507
4.7,508
4.71,505
4.72,508
4.73,505
4.74,505
4.75,505
4.76,505
4.77,507
4.78,507
4.79,507
4.8,508
4.81,510
4.82,516
4.83,516
4.84,516
4.85,515
4.86,510
4.87,505
4.88,501
4.89,503
4.9,504
4.91,501
4.92,503
4.93,502
4.94,504
4.95,505
4.96,503
4.97,495
4.98,509
4.99,553
5,591
5.01,550
5.02,489
5.03,457
5.04,486
5.05,493
5.06,492
5.07,497
5.08,498
5.09,499
5.1,502
5.11,503
5.12,504
5.13,505
5.14,507
5.15,509
5.16,509
5.17,512
5.18,511
5.19,513
5.2,514
5.21,513
5.22,515
5.23,518
5.24,519
5.25,517
5.26,511
5.27,508
5.28,502
5.29,494
5.3,489
5.31,487
5.32,489
5.33,490
5.34,492
5.35,495
5.36,494
5.37,496
5.38,496
5.39,499
5.4,499
5.41,499
5.42,501
5.43,500
5.44,502
5.45,504
5.46,503
5.47,506
5.48,503
5.49,505
5.5,508
5.51,506
5.52,506
5.53,504
5.54,505
5.55,508
5.56,507
5.57,508
5.58,507
5.59,507
5.6,509
5.61,506
5.62,508
5.63,506
5.64,507
5.65,510
5.66,508
5.67,508
5.68,506
