Fs=1000
t,x
0.000,526
0.001,519
0.002,516
0.003,513
0.004,504
0.005,495
0.006,487
0.007,480
0.008,479
0.009,483
0.010,489
0.011,497
0.012,507
0.013,515
0.014,520
0.015,527
0.016,531
0.017,531
0.018,526
0.019,524
0.020,517
0.021,505
0.022,497
0.023,492
0.024,489
0.025,491
0.026,495
0.027,499
0.028,507
0.029,514
0.030,518
0.031,521
0.032,525
0.033,527
0.034,524
0.035,520
0.036,519
0.037,512
0.038,505
0.039,502
0.040,495
0.041,496
0.042,500
0.043,503
0.044,508
0.045,514
0.046,521
0.047,526
0.048,530
0.049,533
0.050,531
0.051,527
0.052,526
0.053,519
0.054,510
0.055,502
0.056,496
0.057,491
0.058,492
0.059,498
0.060,504
0.061,510
0.062,519
0.063,526
0.064,530
0.065,535
0.066,536
0.067,533
0.068,527
0.069,524
0.070,519
0.071,509
0.072,504
0.073,498
0.074,493
0.075,494
0.076,497
0.077,500
0.078,506
0.079,514
0.080,520
0.081,524
0.082,529
0.083,532
0.084,530
0.085,525
0.086,520
0.087,512
0.088,504
0.089,498
0.090,492
0.091,493
0.092,498
0.093,504
0.094,512
0.095,520
0.096,527
0.097,530
0.098,533
0.099,535
0.100,536
0.101,531
0.102,528
0.103,523
0.104,514
0.105,508
0.106,504
0.107,497
0.108,498
0.109,500
0.110,502
0.111,510
0.112,518
0.113,524
0.114,529
0.115,534
0.116,535
0.117,534
0.118,529
0.119,528
0.120,523
0.121,512
0.122,505
0.123,497
0.124,495
0.125,498
0.126,503
0.127,510
0.128,518
0.129,526
0.130,530
0.131,535
0.132,539
0.133,539
0.134,535
0.135,531
0.136,528
0.137,519
0.138,510
0.139,504
0.140,498
0.141,498
0.142,502
0.143,506
0.144,513
0.145,521
0.146,527
0.147,531
0.148,535
0.149,537
0.150,536
0.151,531
0.152,528
0.153,523
0.154,512
0.155,505
0.156,501
0.157,498
0.158,501
0.159,507
0.160,512
0.161,519
0.162,527
0.163,532
0.164,536
0.165,538
0.166,539
0.167,537
0.168,534
0.169,532
0.170,524
0.171,513
0.172,505
0.173,498
0.174,497
0.175,501
0.176,506
0.177,513
0.178,521
0.179,528
0.180,531
0.181,534
0.182,535
0.183,535
0.184,532
0.185,529
0.186,525
0.187,515
0.188,506
0.189,499
0.190,494
0.191,494
0.192,498
0.193,502
0.194,510
0.195,518
0.196,526
0.197,528
0.198,532
0.199,536
0.200,536
0.201,532
0.202,528
0.203,522
0.204,511
0.205,504
0.206,497
0.207,494
0.208,497
0.209,502
0.210,507
0.211,515
0.212,524
0.213,529
0.214,532
0.215,536
0.216,537
0.217,533
0.218,526
0.219,519
0.220,511
0.221,503
0.222,498
0.223,492
0.224,493
0.225,497
0.226,503
0.227,510
0.228,518
0.229,525
0.230,529
0.231,532
0.232,535
0.233,536
0.234,531
0.235,529
0.236,525
0.237,516
0.238,508
0.239,502
0.240,496
0.241,496
0.242,501
0.243,506
0.244,512
0.245,519
0.246,527
0.247,533
0.248,538
0.249,540
0.250,540
0.251,536
0.252,532
0.253,524
0.254,513
0.255,506
0.256,499
0.257,496
0.258,498
0.259,502
0.260,507
0.261,514
0.262,522
0.263,527
0.264,530
0.265,534
0.266,536
0.267,534
0.268,530
0.269,528
0.270,519
0.271,510
0.272,505
0.273,499
0.274,499
0.275,502
0.276,505
0.277,509
0.278,517
0.279,525
0.280,529
0.281,535
0.282,540
0.283,540
0.284,536
0.285,531
0.286,525
0.287,515
0.288,508
0.289,502
0.290,496
0.291,497
0.292,502
0.293,504
0.294,509
0.295,517
0.296,523
0.297,527
0.298,531
0.299,535
0.300,537
0.301,534
0.302,532
0.303,523
0.304,513
0.305,507
0.306,501
0.307,498
0.308,500
0.309,504
0.310,509
0.311,518
0.312,526
0.313,530
0.314,534
0.315,538
0.316,538
0.317,535
0.318,531
0.319,529
0.320,521
0.321,513
0.322,507
0.323,499
0.324,498
0.325,503
0.326,508
0.327,513
0.328,520
0.329,527
0.330,532
0.331,538
0.332,539
0.333,539
0.334,533
0.335,529
0.336,524
0.337,513
0.338,504
0.339,499
0.340,494
0.341,496
0.342,500
0.343,506
0.344,515
0.345,523
0.346,528
0.347,530
